rank,company,revenue ($ millions),profit ($ millions)
197,DISH Network,15493.4,1762.7
198,BJ's Wholesale Club,15430,421
199,Tenneco,15379,-1521
200,United Airlines Holdings,15355,-7069
201,Mastercard,15301,6411
202,Waste Management,15218,1496
203,PBF Energy,15115.9,-1392.4
204,American Electric Power,14918.5,2200.1
205,Fiserv,14852,958
206,Principal Financial,14741.7,1395.8
207,Reinsurance Group of America,14596,415
208,Automatic Data Processing,14589.8,2466.5
209,Stanley Black & Decker,14534.6,1233.8
210,Texas Instruments,14461,5595
211,Halliburton,14445,-2945
212,Stryker,14351,1599
213,Estée Lauder,14294,684
214,Corteva,14217,681
215,Freeport-McMoRan,14198,599
216,Qurate Retail,14177,1204
217,Wayfair,14145.2,185
218,Laboratory Corp. of America,13978.5,1556.1
219,Land O'Lakes,13948.9,264.9
220,PPG Industries,13834,1059
221,Gap,13800,-665
222,Kellogg,13770,1251
223,Parker-Hannifin,13695.5,1206.3
224,Core-Mark Holding,13617.1,63.2
225,Jacobs Engineering Group,13578.2,491.8
226,Edison International,13578,739
227,Guardian Life Ins. Co. of America,13561.5,23.5
228,Biogen,13444.6,4000.6
229,Omnicom Group,13171.1,945.4
230,Unum Group,13162.1,793
231,Lithia Motors,13124.3,470.3
232,American Family Insurance Group,13074.5,403.2
233,Discover Financial Services,12953,1141
234,Adobe,12868,5260
235,Aramark,12829.6,-461.5
236,Otis Worldwide,12756,906
237,Ecolab,12748.7,-1205.1
238,AutoZone,12632,1733
239,Loews,12583,-931
240,Illinois Tool Works,12574,2109
241,Fidelity National Information Services,12552,158
242,Ross Stores,12531.6,85.4
243,Peter Kiewit Sons',12463,826
244,Equitable Holdings,12415,-648
245,WESCO International,12326,100.6
246,Goodyear Tire & Rubber,12321,-1254
247,Fox,12303,999
248,Leidos Holdings,12297,628
249,Consolidated Edison,12246,1101
250,DTE Energy,12177,1368
251,Charles Schwab,12109,3299
252,State Street,12078,2420
253,Ameriprise Financial,11958,1534
254,Viatris,11946,-669.9
255,Sempra Energy,11940,3932
256,Farmers Insurance Exchange,11869.7,-116.4
257,Bath & Body Works,11846.9,844.5
258,W.W. Grainger,11797,695
259,Community Health Systems,11789,511
260,Ball,11781,585
261,Berry Global Group,11709,559
262,Kinder Morgan,11700,119
263,VF,11688.1,679.4
264,Baxter International,11673,1102
265,Textron,11651,309
266,LKQ,11628.8,638.4
267,Keurig Dr Pepper,11618,1325
268,O'Reilly Automotive,11604.5,1752.3
269,Crown Holdings,11575,579
270,Universal Health Services,11558.9,944
271,DaVita,11550.6,773.6
272,Xcel Energy,11526,1473
273,Newmont,11497,2829
274,Vistra,11443,636
275,IQVIA Holdings,11359,279
276,eBay,11351,5667
277,Corning,11303,512
278,Quanta Services,11202.7,445.6
279,HollyFrontier,11183.6,-601.4
280,Bed Bath & Beyond,11158.6,-613.8
281,Uber Technologies,11139,-6768
282,Mutual of Omaha Insurance,11098.4,698.1
283,Conagra Brands,11054.4,840.1
284,PulteGroup,11036.1,1406.8
285,EOG Resources,11032,-604.6
286,Group 1 Automotive,10851.8,286.5
287,Ally Financial,10780,1085
288,Fidelity National Financial,10778,1427
289,Nordstrom,10715,-690
290,Discovery,10671,1219
291,Tractor Supply,10620.4,749
292,CSX,10583,2765
293,Marriott International,10571,-267
294,FirstEnergy,10435,1079
295,BorgWarner,10165,500
295,Jones Financial (Edward Jones),10165,1285
297,Republic Services,10153.6,967.2
298,Henry Schein,10119.1,403.8
299,Expeditors Intl. of Washington,10116.5,696.1
300,Entergy,10113.6,1388.3
301,Advance Auto Parts,10106.3,493
302,Assurant,10094.8,441.8
303,Pacific Life,10062,-671
304,Lam Research,10044.7,2251.8
305,Boston Scientific,9913,-82
306,Altice USA,9894.6,436.2
307,Norfolk Southern,9789,2013
308,Sonic Automotive,9767,-51.4
309,Advanced Micro Devices,9763,2490
310,United States Steel,9741,-1165
311,Markel,9735.1,816
312,ODP,9710,-319
313,AES,9660,46
314,Molson Coors Beverage,9654,-949
315,J.B. Hunt Transport Services,9636.6,506
316,KKR,9629.7,2002.5
317,Hormel Foods,9608.5,908.1
318,Public Service Enterprise Group,9603,1905
319,Steel Dynamics,9601.5,550.8
320,Dick's Sporting Goods,9584,530.3
321,Mohawk Industries,9552.2,515.6
322,Murphy USA,9504.3,386.1
323,Square,9497.6,213.1
324,Quest Diagnostics,9437,1431
325,Newell Brands,9385,-770
326,Liberty Media,9363,-1421
327,Huntington Ingalls Industries,9361,696
328,Cheniere Energy,9358,-85
329,SpartanNash,9348.5,75.9
330,Alcoa,9286,-170
331,AGCO,9149.7,427.1
332,Voya Financial,9133,-206
333,NRG Energy,9093,510
334,Interpublic Group,9061,351.1
335,Campbell Soup,9050,1628
336,Southwest Airlines,9048,-3074
337,News Corp.,9008,-1269
338,Eversource Energy,8904.4,1205.2
339,Alleghany,8896.7,101.8
340,Air Products & Chemicals,8856.3,1886.7
341,Auto-Owners Insurance,8853.2,829.4
342,CenterPoint Energy,8835,-773
343,Reliance Steel & Aluminum,8811.9,369.1
344,EMCOR Group,8797.1,132.9
345,Owens & Minor,8706.9,29.9
346,Mosaic,8681.7,666.1
347,Erie Insurance Group,8666,1173.1
348,Genworth Financial,8658,178
349,Amphenol,8598.9,1203.4
350,Builders FirstSource,8558.9,313.5
351,Oneok,8542.2,612.8
352,United Rentals,8530,890
353,Brighthouse Financial,8503,-1061
354,Regeneron Pharmaceuticals,8497.1,3513.2
355,Eastman Chemical,8473,478
356,CommScope Holding,8435.9,-573.4
357,Ryder System,8420.1,-122.3
358,Fifth Third Bancorp,8402,1427
359,Constellation Brands,8343.5,-11.8
360,Insight Enterprises,8340.6,172.6
361,Global Partners,8321.6,102.2
362,Univar Solutions,8265,52.9
363,Yum China Holdings,8263,784
364,Targa Resources,8260.3,-1553.9
365,Intercontinental Exchange,8244,2089
366,Andersons,8208.4,7.7
367,Raymond James Financial,8168,818
368,Thor Industries,8167.9,223
